frame_index,timestamp_s,ball_x,ball_y,radius_px,circularity,v_at_center,confidence,n_candidates
3211,53.5536,1522.84,422.87,5.05,0.722,216,0.612,2
3212,53.5703,1323.14,351.2,5.06,0.785,192,0.591,3
3213,53.587,,,,,,0.0,3
3214,53.6036,984.89,318.06,5.31,0.774,215,0.653,4
3215,53.6203,782.05,317.56,5.61,0.772,215,0.651,4
3216,53.637,751.05,322.4,5.61,0.772,212,0.642,5
3217,53.6537,,,,,,0.0,2
3218,53.6703,763.92,324.86,5.06,0.704,201,0.555,2
3219,53.687,750.29,322.9,5.63,0.785,205,0.631,3
3220,53.7037,734.02,320.36,5.71,0.777,200,0.609,4
3221,53.7204,728.98,319.58,5.63,0.785,205,0.631,4
3222,53.7371,739.45,317.37,5.63,0.785,197,0.607,5
3223,53.7537,787.99,307.88,5.44,0.756,194,0.575,6
3224,53.7704,857.24,294.75,9.5,0.662,214,0.556,3
3225,53.7871,856.49,295.2,7.54,0.714,224,0.627,4
3226,53.8038,789.87,308.74,5.32,0.803,205,0.646,3
3227,53.8204,757.81,319.55,5.4,0.767,189,0.568,5
3228,53.8371,773.95,324.93,6.28,0.732,183,0.525,7
3229,53.8538,777.53,326.17,5.35,0.764,221,0.662,10
3230,53.8705,750.38,323.08,5.54,0.809,196,0.621,10
3231,53.8872,732.01,320.72,5.4,0.801,210,0.659,4
3232,53.9038,734.95,327.77,5.4,0.801,204,0.64,6
3233,53.9205,736.5,357.05,5.59,0.751,193,0.569,5
3234,53.9372,717.41,400.79,12.7,0.759,239,0.712,4
3235,53.9539,698.53,423.05,12.24,0.828,238,0.772,5
3236,53.9706,689.68,422.93,12.28,0.785,239,0.736,5
3237,53.9872,684.7,417.37,12.42,0.779,233,0.712,6
3238,54.0039,643.31,390.53,12.15,0.763,235,0.703,3
3239,54.0206,475.1,287.75,12.34,0.81,233,0.74,5
