frame_index,timestamp_s,ball_x,ball_y,raw_ball_x,raw_ball_y,radius_px,circularity,v_at_center,raw_confidence,bbox_x0,bbox_y0,bbox_x1,bbox_y1,tracking_backend,confidence,n_candidates
96,1.6015,442.46,470.92,502.15,470.2,6.93,,,0.088,486.08,463.27,518.23,477.14,ultralytics,0.088,2
97,1.6182,426.62,470.97,402.5,471.3,4.3,,,0.433,398.19,466.92,406.8,475.69,ultralytics,0.433,1
98,1.6349,407.45,470.99,401.9,471.16,4.86,,,0.641,396.99,466.3,406.82,476.02,ultralytics,0.641,3
99,1.6516,401.79,470.77,401.7,470.7,4.64,,,0.506,396.92,466.05,406.48,475.34,ultralytics,0.506,1
100,1.6683,401.63,470.55,401.74,470.45,4.54,,,0.477,396.96,465.91,406.52,474.99,ultralytics,0.477,1
101,1.6849,401.46,470.46,401.4,470.47,4.7,,,0.532,396.58,465.77,406.23,475.17,ultralytics,0.532,1
102,1.7016,401.27,470.39,401.31,470.41,4.77,,,0.582,396.41,465.64,406.21,475.18,ultralytics,0.582,2
103,1.7183,401.08,470.25,401.06,470.34,4.95,,,0.604,395.98,465.38,406.13,475.29,ultralytics,0.604,2
104,1.735,400.92,470.04,400.88,469.98,4.88,,,0.627,395.84,465.1,405.92,474.86,ultralytics,0.627,1
105,1.7517,400.81,469.87,400.81,469.82,4.67,,,0.595,395.87,465.15,405.76,474.48,ultralytics,0.595,1
106,1.7683,400.74,469.72,400.74,469.84,4.7,,,0.637,395.8,465.14,405.67,474.54,ultralytics,0.637,1
107,1.785,400.72,469.51,400.64,469.47,4.71,,,0.662,395.66,464.75,405.61,474.18,ultralytics,0.662,1
108,1.8017,400.75,469.29,400.8,469.25,4.54,,,0.644,395.81,464.71,405.79,473.78,ultralytics,0.644,2
109,1.8184,400.77,469.08,400.78,469.17,4.58,,,0.645,395.81,464.59,405.75,473.75,ultralytics,0.645,2
110,1.8351,400.76,468.87,400.75,468.75,4.37,,,0.613,395.92,464.37,405.59,473.12,ultralytics,0.613,1
111,1.8518,400.74,468.73,400.74,468.72,4.36,,,0.621,395.93,464.35,405.55,473.08,ultralytics,0.621,1
112,1.8684,400.72,468.61,400.73,468.7,4.4,,,0.55,395.93,464.31,405.54,473.1,ultralytics,0.55,1
113,1.8851,400.71,468.46,400.69,468.4,4.38,,,0.586,395.88,464.03,405.51,472.78,ultralytics,0.586,1
114,1.9018,400.68,468.32,400.72,468.3,4.46,,,0.636,395.92,463.84,405.52,472.76,ultralytics,0.636,1
115,1.9185,400.65,468.23,400.61,468.22,4.52,,,0.613,395.89,463.7,405.33,472.74,ultralytics,0.613,1
116,1.9352,400.62,468.17,400.64,468.19,4.53,,,0.627,395.97,463.66,405.31,472.72,ultralytics,0.627,1
117,1.9519,400.59,468.11,400.57,468.08,4.45,,,0.64,395.82,463.63,405.31,472.53,ultralytics,0.64,1
