frame_index,timestamp_s,ball_x,ball_y,radius_px,circularity,v_at_center,confidence,n_candidates
181,3.019,243.83,532.32,6.3,0.743,222,0.647,34
182,3.0357,229.56,532.31,6.4,0.766,222,0.667,28
183,3.0524,223.87,532.02,7.57,0.68,222,0.592,24
184,3.069,227.57,530.65,6.91,0.716,222,0.623,36
185,3.0857,237.1,526.62,7.19,0.703,226,0.623,37
186,3.1024,245.45,520.63,6.79,0.749,186,0.547,35
187,3.1191,247.26,516.94,5.32,0.711,193,0.538,33
188,3.1358,236.65,516.68,6.7,0.729,190,0.543,30
189,3.1524,212.55,520.06,7.14,0.657,193,0.497,35
190,3.1691,185.94,524.91,7.08,0.703,223,0.615,27
191,3.1858,175.97,524.68,7.18,0.707,223,0.618,26
192,3.2025,178.2,519.62,6.23,0.775,225,0.684,25
193,3.2192,182.68,515.97,5.92,0.663,200,0.52,27
194,3.2358,201.68,514.81,5.73,0.679,195,0.519,21
195,3.2525,259.37,515.24,5.53,0.695,207,0.564,22
196,3.2692,332.13,516.51,5.38,0.74,212,0.615,36
197,3.2859,394.02,503.49,6.98,0.698,218,0.597,39
198,3.3026,522.03,448.04,7.07,0.694,187,0.509,22
199,3.3192,,,,,,0.0,14
200,3.3359,726.21,361.67,8.03,0.824,247,0.799,20
201,3.3526,850.89,310.55,7.82,0.798,247,0.773,26
202,3.3693,878.72,299.07,7.65,0.799,246,0.771,25
203,3.386,878.65,298.42,7.74,0.806,247,0.781,25
204,3.4026,878.62,297.67,7.97,0.812,247,0.787,15
205,3.4193,878.62,297.12,7.92,0.763,249,0.745,27
206,3.436,878.58,296.59,7.74,0.842,247,0.816,23
207,3.4527,878.58,296.05,7.87,0.826,249,0.807,18
208,3.4694,878.61,295.7,7.87,0.826,251,0.813,23
209,3.486,878.6,295.35,7.67,0.829,255,0.829,19
210,3.5027,878.57,294.82,7.77,0.83,252,0.82,25
211,3.5194,878.5,294.16,8.0,0.811,250,0.795,18
212,3.5361,878.42,293.49,7.92,0.83,246,0.8,26
213,3.5528,878.41,292.93,7.97,0.822,247,0.797,23
214,3.5694,878.43,292.54,7.87,0.863,247,0.836,29
215,3.5861,878.43,292.12,8.19,0.808,250,0.792,26
216,3.6028,878.42,291.61,8.06,0.823,247,0.798,22
217,3.6195,878.52,291.04,7.8,0.855,245,0.822,25
218,3.6361,878.65,290.53,7.96,0.828,244,0.792,27
219,3.6528,878.54,289.99,7.84,0.747,251,0.736,38
220,3.6695,878.22,289.48,8.11,0.826,247,0.8,28
221,3.6862,878.22,289.03,7.59,0.753,247,0.729,36
222,3.7029,878.55,288.75,8.23,0.825,244,0.789,30
223,3.7195,879.0,288.44,7.17,0.799,249,0.781,26
224,3.7362,879.23,287.95,6.09,0.705,239,0.661,18
225,3.7529,879.08,287.73,7.95,0.843,249,0.824,30
226,3.7696,879.0,287.69,6.65,0.718,235,0.662,29
227,3.7863,878.86,287.19,7.6,0.831,253,0.825,22
228,3.8029,878.66,286.5,6.71,0.749,252,0.74,37
229,3.8196,878.42,285.87,7.53,0.861,243,0.82,40
230,3.8363,878.33,285.38,7.48,0.851,245,0.818,42
231,3.853,878.41,284.95,7.63,0.846,246,0.816,23
232,3.8697,878.4,284.59,7.72,0.837,247,0.811,38
233,3.8863,880.42,282.47,6.9,0.765,245,0.735,32
234,3.903,890.14,274.14,6.76,0.701,245,0.673,30
235,3.9197,906.27,260.31,6.69,0.809,230,0.729,31
236,3.9364,915.97,251.31,6.05,0.847,252,0.837,20
237,3.9531,918.05,248.58,6.15,0.797,240,0.75,41
238,3.9697,918.05,248.07,6.28,0.831,236,0.769,29
239,3.9864,918.03,247.81,6.45,0.82,238,0.765,34
240,4.0031,917.91,247.76,6.33,0.813,240,0.765,37
241,4.0198,917.78,247.84,6.65,0.728,247,0.706,41
242,4.0365,917.83,247.54,6.76,0.759,253,0.754,42
243,4.0531,917.96,246.73,5.94,0.785,240,0.739,40
244,4.0698,918.1,245.91,5.94,0.785,238,0.733,22
245,4.0865,918.21,245.25,6.06,0.795,243,0.758,22
246,4.1032,918.22,244.94,5.94,0.785,240,0.739,21
247,4.1199,918.18,244.94,6.28,0.831,240,0.782,29
248,4.1365,918.13,244.89,6.28,0.831,240,0.782,22
249,4.1532,918.03,244.59,5.82,0.762,243,0.726,22
250,4.1699,917.86,244.21,5.82,0.733,238,0.684,23
251,4.1866,917.78,243.9,6.15,0.797,242,0.756,36
252,4.2033,917.89,243.69,5.97,0.78,245,0.749,20
253,4.2199,918.06,243.33,5.38,0.74,239,0.693,15
254,4.2366,918.19,242.89,5.67,0.774,240,0.729,29
255,4.2533,918.31,242.52,5.26,0.707,249,0.691,27
256,4.27,918.26,242.21,5.53,0.707,249,0.69,15
257,4.2867,918.09,241.78,5.97,0.825,238,0.77,15
258,4.3033,917.99,241.36,5.92,0.81,238,0.756,25
259,4.32,910.85,242.28,6.14,0.816,240,0.768,12
260,4.3367,879.02,247.75,6.05,0.814,237,0.756,17
261,4.3534,831.85,262.25,6.3,0.782,243,0.745,21
262,4.3701,825.36,284.71,6.0,0.757,243,0.721,8
263,4.3867,865.12,295.19,5.98,0.774,186,0.565,13
264,4.4034,902.22,270.44,5.22,0.675,242,0.64,11
265,4.4201,915.87,246.49,5.71,0.777,239,0.728,9
266,4.4368,917.89,239.66,6.3,0.782,240,0.736,24
267,4.4534,915.9,240.94,5.75,0.766,235,0.706,19
268,4.4701,906.31,249.03,5.54,0.762,238,0.711,13
269,4.4868,890.33,262.89,5.86,0.661,245,0.635,16
270,4.5035,880.62,271.34,6.04,0.659,249,0.643,12
271,4.5202,878.45,273.17,5.86,0.661,249,0.645,22
272,4.5368,878.44,272.94,6.04,0.659,245,0.633,8
273,4.5535,871.91,278.48,5.86,0.661,249,0.645,15
274,4.5702,849.32,298.82,5.86,0.661,250,0.648,14
275,4.5869,830.38,315.92,5.92,0.673,190,0.502,11
276,4.6036,848.73,298.72,5.86,0.661,254,0.658,12
277,4.6202,874.78,283.53,5.63,0.659,250,0.646,17
278,4.6369,887.1,302.5,5.66,0.692,250,0.678,25
279,4.6536,859.06,340.66,5.86,0.795,230,0.717,7
280,4.6703,777.69,346.66,8.14,0.659,214,0.553,7
281,4.687,731.37,311.72,5.53,0.794,186,0.579,4
282,4.7036,766.03,278.42,6.13,0.722,243,0.688,7
283,4.7203,833.44,268.57,5.85,0.675,247,0.654,13
284,4.737,870.41,268.86,5.85,0.675,247,0.654,10
285,4.7537,878.05,268.97,6.53,0.752,250,0.737,22
286,4.7704,881.17,271.52,6.63,0.748,249,0.731,19
287,4.787,895.4,284.09,6.94,0.74,252,0.731,13
288,4.8037,910.96,301.29,5.74,0.784,208,0.64,12
289,4.8204,888.79,297.92,6.05,0.801,210,0.659,32
290,4.8371,831.66,274.64,5.08,0.731,239,0.685,11
291,4.8538,795.14,259.16,6.35,0.795,245,0.763,18
292,4.8704,791.98,256.53,6.57,0.82,246,0.791,17
293,4.8871,813.96,259.02,6.38,0.755,239,0.708,19
294,4.9038,850.18,262.71,7.15,0.759,251,0.747,20
295,4.9205,872.1,264.69,7.56,0.786,253,0.78,22
296,4.9372,876.92,264.86,7.68,0.765,251,0.753,13
297,4.9538,876.89,264.52,7.8,0.804,251,0.792,25
298,4.9705,876.84,264.21,7.83,0.794,251,0.781,23
299,4.9872,876.74,263.9,7.6,0.831,253,0.825,19
300,5.0039,876.72,263.51,7.64,0.84,255,0.84,22
301,5.0206,876.79,263.04,7.6,0.795,251,0.783,27
302,5.0372,876.82,262.61,7.28,0.787,252,0.778,17
303,5.0539,876.72,262.2,7.92,0.772,250,0.757,17
304,5.0706,876.59,261.88,7.72,0.827,253,0.82,21
305,5.0873,876.44,261.53,6.96,0.785,251,0.773,17
306,5.104,876.24,260.97,7.94,0.823,244,0.788,13
307,5.1206,876.09,260.4,7.79,0.809,247,0.784,25
308,5.1373,876.03,259.96,7.63,0.82,245,0.787,14
309,5.154,875.91,259.48,7.91,0.835,238,0.779,20
310,5.1707,875.78,258.94,7.91,0.835,238,0.779,32
311,5.1874,875.67,258.35,7.68,0.765,252,0.756,25
312,5.204,875.61,257.9,7.66,0.761,252,0.752,25
313,5.2207,875.51,257.51,7.98,0.807,253,0.801,25
314,5.2374,875.28,257.03,7.79,0.809,247,0.784,25
315,5.2541,875.02,256.54,8.47,0.831,249,0.812,26
316,5.2707,874.95,256.14,7.93,0.839,246,0.81,19
317,5.2874,875.01,255.71,7.64,0.804,253,0.798,18
318,5.3041,874.98,255.14,8.02,0.84,249,0.82,25
319,5.3208,874.86,254.53,8.17,0.818,243,0.78,16
320,5.3375,874.7,254.04,7.96,0.828,249,0.808,32
321,5.3541,874.54,253.47,8.14,0.839,246,0.81,14
322,5.3708,874.43,252.87,8.07,0.808,247,0.783,19
323,5.3875,874.26,252.14,8.21,0.836,246,0.806,14
324,5.4042,874.02,251.37,8.12,0.835,245,0.803,18
325,5.4209,873.81,250.74,7.92,0.845,250,0.828,17
326,5.4375,873.67,250.19,8.12,0.861,245,0.827,26
327,5.4542,873.57,249.63,8.12,0.825,242,0.783,22
328,5.4709,873.44,249.09,8.1,0.831,247,0.805,27
329,5.4876,873.24,248.5,8.22,0.84,246,0.81,21
330,5.5043,873.01,247.89,8.12,0.801,245,0.77,23
331,5.5209,872.86,247.2,8.13,0.845,245,0.812,20
332,5.5376,872.77,246.46,8.21,0.802,246,0.774,27
333,5.5543,872.66,245.67,8.57,0.812,251,0.799,20
334,5.571,872.51,244.91,8.38,0.846,247,0.82,17
335,5.5877,872.33,244.11,7.93,0.781,246,0.753,24
336,5.6043,872.12,243.31,8.19,0.832,247,0.806,18
337,5.621,871.86,242.59,8.25,0.829,253,0.822,19
338,5.6377,871.67,241.88,8.43,0.806,251,0.793,20
339,5.6544,871.58,241.17,8.27,0.822,249,0.803,22
340,5.6711,871.43,240.42,8.33,0.82,249,0.801,17
341,5.6877,871.18,239.62,8.42,0.854,249,0.834,19
342,5.7044,870.95,238.78,8.35,0.824,250,0.808,15
343,5.7211,870.71,237.94,8.27,0.832,249,0.813,16
344,5.7378,870.43,237.17,8.4,0.84,247,0.814,21
345,5.7545,870.19,236.4,8.24,0.844,247,0.817,16
346,5.7711,870.01,235.63,8.51,0.815,244,0.78,22
347,5.7878,869.76,234.85,8.65,0.826,243,0.787,16
348,5.8045,869.5,234.05,8.38,0.836,245,0.804,16
349,5.8212,869.31,233.23,8.36,0.833,244,0.797,19
350,5.8379,869.13,232.39,8.32,0.825,245,0.793,14
351,5.8545,868.91,231.55,8.51,0.784,246,0.756,14
352,5.8712,868.64,230.74,8.65,0.803,247,0.778,15
353,5.8879,868.45,230.06,8.35,0.848,245,0.815,13
354,5.9046,868.36,229.29,8.63,0.822,250,0.806,14
355,5.9213,868.22,228.25,8.25,0.829,245,0.796,15
356,5.9379,867.95,227.18,8.16,0.809,244,0.774,15
357,5.9546,867.55,226.22,8.47,0.831,246,0.802,12
358,5.9713,867.24,225.3,8.66,0.834,246,0.805,12
359,5.988,867.07,224.37,8.5,0.82,249,0.801,14
360,6.0047,866.83,223.39,8.76,0.793,247,0.768,12
361,6.0213,866.56,222.4,8.59,0.838,247,0.812,12
362,6.038,866.39,221.38,8.64,0.84,240,0.791,15
363,6.0547,866.34,220.52,8.72,0.84,238,0.784,13
364,6.0714,866.19,219.8,8.28,0.794,247,0.77,16
365,6.088,865.76,218.89,8.8,0.795,247,0.77,14
366,6.1047,865.29,217.88,8.57,0.845,243,0.805,18
367,6.1214,864.95,216.86,8.87,0.835,243,0.796,9
368,6.1381,864.74,216.04,8.56,0.831,251,0.818,14
369,6.1548,864.59,215.4,7.87,0.76,247,0.736,17
370,6.1714,864.31,214.51,9.92,0.786,247,0.761,10
371,6.1881,863.84,213.11,8.08,0.817,245,0.785,34
372,6.2048,863.32,211.27,10.13,0.807,246,0.778,12
373,6.2215,862.94,209.14,11.06,0.771,239,0.723,12
374,6.2382,862.51,206.82,11.73,0.735,243,0.7,9
375,6.2548,861.95,203.55,11.74,0.766,242,0.727,12
376,6.2715,861.18,199.55,11.88,0.78,235,0.719,6
377,6.2882,860.34,195.46,11.51,0.762,251,0.75,7
378,6.3049,859.56,191.73,11.4,0.769,246,0.742,5
379,6.3216,858.92,188.39,10.65,0.775,237,0.72,8
380,6.3382,858.4,185.2,10.5,0.777,253,0.771,11
381,6.3549,857.94,182.36,10.24,0.805,245,0.774,4
382,6.3716,857.45,180.2,9.38,0.777,251,0.765,11
383,6.3883,857.09,178.73,9.89,0.815,249,0.796,5
384,6.405,856.86,177.62,7.96,0.828,251,0.815,15
385,6.4216,809.89,167.04,8.51,0.784,252,0.775,18
386,6.4383,600.53,123.36,9.62,0.789,250,0.773,5
